天津电信-组播1,#group#
CCTV-2财经,http://42.92.195.94:10000/udp/239.255.30.179:8231
CCTV-3综艺,http://42.92.195.94:10000/udp/239.255.29.12:8231
CCTV-4中文国际,http://42.92.195.94:10000/udp/239.255.30.83:8231
CCTV-5体育,http://42.92.195.94:10000/udp/239.255.29.13:8231
CCTV-5+体育赛事,http://42.92.195.94:10000/udp/239.255.30.184:8231
CCTV-6电影,http://42.92.195.94:10000/udp/239.255.29.14:8231
CCTV-7国防军事,http://42.92.195.94:10000/udp/239.255.30.178:8231
CCTV-8电视剧,http://42.92.195.94:10000/udp/239.255.29.15:8231
CCTV-9纪录,http://42.92.195.94:10000/udp/239.255.30.180:8231
CCTV-10科教,http://42.92.195.94:10000/udp/239.255.30.181:8231
CCTV-11戏曲,http://42.92.195.94:10000/udp/239.255.30.62:8231
CCTV-12社会与法,http://42.92.195.94:10000/udp/239.255.30.182:8231
CCTV-13新闻,http://42.92.195.94:10000/udp/239.255.29.28:8231
CCTV-14少儿,http://42.92.195.94:10000/udp/239.255.30.183:8231
CCTV-15音乐,http://42.92.195.94:10000/udp/239.255.30.68:8231
CCTV-16奥林匹克,http://42.92.195.94:10000/udp/239.255.30.88:8231
CCTV-17农业农村,http://42.92.195.94:10000/udp/239.255.30.96:8231
湖南卫视,http://42.92.195.94:10000/udp/239.255.30.136:8231
东方卫视,http://42.92.195.94:10000/udp/239.255.30.130:8231
江苏卫视,http://42.92.195.94:10000/udp/239.255.30.131:8231
浙江卫视,http://42.92.195.94:10000/udp/239.255.30.132:8231
北京卫视,http://42.92.195.94:10000/udp/239.255.30.133:8231
广东卫视,http://42.92.195.94:10000/udp/239.255.30.134:8231
深圳卫视,http://42.92.195.94:10000/udp/239.255.30.135:8231
黑龙江卫视,http://42.92.195.94:10000/udp/239.255.30.137:8231
湖北卫视,http://42.92.195.94:10000/udp/239.255.30.138:8231
山东卫视,http://42.92.195.94:10000/udp/239.255.30.139:8231
天津卫视,http://42.92.195.94:10000/udp/239.255.30.67:8231
辽宁卫视,http://42.92.195.94:10000/udp/239.255.30.69:8231
江西卫视,http://42.92.195.94:10000/udp/239.255.30.71:8231
贵州卫视,http://42.92.195.94:10000/udp/239.255.30.98:8231
海南卫视,http://42.92.195.94:10000/udp/239.255.30.99:8231
安徽卫视,http://42.92.195.94:10000/udp/239.255.30.84:8231
河北卫视,http://42.92.195.94:10000/udp/239.255.30.85:8231
东南卫视,http://42.92.195.94:10000/udp/239.255.30.86:8231
四川卫视,http://42.92.195.94:10000/udp/239.255.30.91:8231
重庆卫视,http://42.92.195.94:10000/udp/239.255.30.89:8231
云南卫视,http://42.92.195.94:10000/udp/239.255.29.2:8231
河南卫视,http://42.92.195.94:10000/udp/239.255.29.3:8231
广西卫视,http://42.92.195.94:10000/udp/239.255.29.4:8231
吉林卫视,http://42.92.195.94:10000/udp/239.255.29.5:8231
CETV1,http://42.92.195.94:10000/udp/239.255.30.90:8231
BesTV戏曲精选,http://42.92.195.94:10000/udp/239.255.30.118:8231
BesTV谍战剧场,http://42.92.195.94:10000/udp/239.255.30.166:8231
BesTV华语电影,http://42.92.195.94:10000/udp/239.255.30.193:8231
BesTV星光影院,http://42.92.195.94:10000/udp/239.255.30.194:8231
BesTV全球大片,http://42.92.195.94:10000/udp/239.255.30.196:8231
BesTV看天下,http://42.92.195.94:10000/udp/239.255.30.217:8231
BesTV电视剧,http://42.92.195.94:10000/udp/239.255.30.100:8231
BesTV动漫,http://42.92.195.94:10000/udp/239.255.30.150:8231
BesTV少儿,http://42.92.195.94:10000/udp/239.255.30.151:8231
BesTV文化,http://42.92.195.94:10000/udp/239.255.30.160:8231
BesTV健康,http://42.92.195.94:10000/udp/239.255.30.197:8231
北京卡酷少儿,http://42.92.195.94:10000/udp/239.255.29.38:8231
金鹰纪实,http://42.92.195.94:10000/udp/239.255.29.39:8231
上海哈哈炫动,http://42.92.195.94:10000/udp/239.255.29.37:8231
上海动漫秀场,http://42.92.195.94:10000/udp/239.255.29.16:8231
上海欢笑剧场,http://42.92.195.94:10000/udp/239.255.29.19:8231
上海欢笑剧场4K,http://42.92.195.94:10000/udp/239.255.29.7:8231
上海乐游频道,http://42.92.195.94:10000/udp/239.255.29.17:8231
上海生活时尚,http://42.92.195.94:10000/udp/239.255.29.18:8231
上海都市频道,http://42.92.195.94:10000/udp/239.255.29.22:8231
上海都市剧场,http://42.92.195.94:10000/udp/239.255.29.41:8231
上海金色学堂,http://42.92.195.94:10000/udp/239.255.29.23:8231
上海法治天地,http://42.92.195.94:10000/udp/239.255.29.24:8231
羽毛球精品赛事,http://42.92.195.94:10000/udp/239.255.29.31:8231
IPTV5体育,http://42.92.195.94:10000/udp/239.255.30.115:8231
凤凰香港,http://42.92.195.94:10000/udp/239.255.30.123:8231

山西电信-组播1,#group#
山西卫视,http://110.178.145.178:8188/udp/239.1.1.1:8001
黄河电视台,http://110.178.145.178:8188/udp/239.1.1.2:8002
山西经济与科技,http://110.178.145.178:8188/udp/239.1.1.3:8003
山西影视,http://110.178.145.178:8188/udp/239.1.1.4:8004
山西社会与法治,http://110.178.145.178:8188/udp/239.1.1.5:8005
山西文体生活,http://110.178.145.178:8188/udp/239.1.1.6:8006
晋中综合频道,http://110.178.145.178:8188/udp/239.1.1.120:8120
晋中公共频道,http://110.178.145.178:8188/udp/239.1.1.121:8121
运城1台,http://110.178.145.178:8188/udp/239.1.1.123:8123
运城2台,http://110.178.145.178:8188/udp/239.1.1.124:8124
盐湖频道,http://110.178.145.178:8188/udp/239.1.1.125:8125
CCTV-1综合,http://110.178.145.178:8188/udp/239.1.1.7:8007
CCTV-2财经,http://110.178.145.178:8188/udp/239.1.1.8:8008
CCTV-3综艺,http://110.178.145.178:8188/udp/239.1.1.9:8009
CCTV-4中文国际,http://110.178.145.178:8188/udp/239.1.1.10:8010
CCTV-5体育,http://110.178.145.178:8188/udp/239.1.1.11:8011
CCTV-6电影,http://110.178.145.178:8188/udp/239.1.1.13:8013
CCTV-7国防军事,http://110.178.145.178:8188/rtp/239.1.1.14:8014
CCTV-8电视剧,http://110.178.145.178:8188/udp/239.1.1.15:8015
CCTV-9纪录,http://110.178.145.178:8188/udp/239.1.1.16:8016
CCTV-10科教,http://110.178.145.178:8188/udp/239.1.1.17:8017
CCTV-11戏曲,http://110.178.145.178:8188/rtp/239.1.1.18:8018
CCTV-12社会与法,http://110.178.145.178:8188/udp/239.1.1.19:8019
CCTV-13新闻,http://110.178.145.178:8188/udp/239.1.1.20:8020
CCTV-14少儿,http://110.178.145.178:8188/udp/239.1.1.21:8021
CCTV-15音乐,http://110.178.145.178:8188/rtp/239.1.1.22:8022
CCTV-16奥林匹克,http://110.178.145.178:8188/udp/239.1.1.122:8122
CCTV-17农业农村,http://110.178.145.178:8188/udp/239.1.1.23:8023
CCTV-5+体育赛事,http://110.178.145.178:8188/udp/239.1.1.12:8012
CCTV风云剧场,http://110.178.145.178:8188/udp/239.1.1.93:8093
CCTV第一剧场,http://110.178.145.178:8188/udp/239.1.1.94:8094
CCTV怀旧剧场,http://110.178.145.178:8188/udp/239.1.1.95:8095
CCTV女性时尚,http://110.178.145.178:8188/udp/239.1.1.89:8089
CCTV电视指南,http://110.178.145.178:8188/udp/239.1.1.90:8090
CCTV央视文化精品,http://110.178.145.178:8188/udp/239.1.1.91:8091
CCTV风云音乐,http://110.178.145.178:8188/udp/239.1.1.96:8096
CCTV兵器科技,http://110.178.145.178:8188/udp/239.1.1.97:8097
CCTV世界地理,http://110.178.145.178:8188/udp/239.1.1.99:8099
CCTV央视台球,http://110.178.145.178:8188/udp/239.1.1.100:8100
CCTV风云足球,http://110.178.145.178:8188/udp/239.1.1.101:8101
CCTV高尔夫网球,http://110.178.145.178:8188/udp/239.1.1.102:8102
凤凰卫视,http://110.178.145.178:8188/udp/239.1.1.126:8126
凤凰资讯,http://110.178.145.178:8188/udp/239.1.1.127:8127
湖南卫视,http://110.178.145.178:8188/udp/239.1.1.28:8028
四川卫视,http://110.178.145.178:8188/udp/239.1.1.29:8029
吉林卫视,http://110.178.145.178:8188/udp/239.1.1.30:8030
上海卫视,http://110.178.145.178:8188/udp/239.1.1.31:8031
湖北卫视,http://110.178.145.178:8188/udp/239.1.1.32:8032
东南卫视,http://110.178.145.178:8188/udp/239.1.1.33:8033
河南卫视,http://110.178.145.178:8188/udp/239.1.1.34:8034
江苏卫视,http://110.178.145.178:8188/udp/239.1.1.35:8035
重庆卫视,http://110.178.145.178:8188/udp/239.1.1.36:8036
黑龙江卫视,http://110.178.145.178:8188/udp/239.1.1.37:8037
浙江卫视,http://110.178.145.178:8188/udp/239.1.1.38:8038
深圳卫视,http://110.178.145.178:8188/udp/239.1.1.39:8039
广西卫视,http://110.178.145.178:8188/udp/239.1.1.40:8040
北京卫视,http://110.178.145.178:8188/udp/239.1.1.41:8041
辽宁卫视,http://110.178.145.178:8188/udp/239.1.1.42:8042
贵州卫视,http://110.178.145.178:8188/udp/239.1.1.43:8043
安徽卫视,http://110.178.145.178:8188/udp/239.1.1.44:8044
天津卫视,http://110.178.145.178:8188/udp/239.1.1.46:8046
山东卫视,http://110.178.145.178:8188/udp/239.1.1.47:8047
河北卫视,http://110.178.145.178:8188/udp/239.1.1.48:8048
广东卫视,http://110.178.145.178:8188/udp/239.1.1.49:8049
江西卫视,http://110.178.145.178:8188/udp/239.1.1.52:8052
云南卫视,http://110.178.145.178:8188/rtp/239.1.1.54:8054
陕西卫视,http://110.178.145.178:8188/rtp/239.1.1.50:8050
甘肃卫视,http://110.178.145.178:8188/rtp/239.1.1.51:8051
青海卫视,http://110.178.145.178:8188/rtp/239.1.1.53:8053
海南卫视,http://110.178.145.178:8188/rtp/239.1.1.55:8055
宁夏卫视,http://110.178.145.178:8188/rtp/239.1.1.56:8056
西藏卫视,http://110.178.145.178:8188/rtp/239.1.1.57:8057
兵团卫视,http://110.178.145.178:8188/rtp/239.1.1.58:8058
新疆卫视,http://110.178.145.178:8188/rtp/239.1.1.59:8059
内蒙古卫视,http://110.178.145.178:8188/rtp/239.1.1.60:8060
三沙卫视,http://110.178.145.178:8188/rtp/239.1.1.70:8070
厦门卫视,http://110.178.145.178:8188/rtp/239.1.1.71:8071
农林卫视,http://110.178.145.178:8188/rtp/239.1.1.73:8073
山东教育卫视,http://110.178.145.178:8188/rtp/239.1.1.74:8074
上海动漫秀场,http://110.178.145.178:8188/udp/239.1.1.80:8080
上海都市剧场,http://110.178.145.178:8188/udp/239.1.1.81:8081
上海生活时尚,http://110.178.145.178:8188/udp/239.1.1.76:8076
上海法治天地,http://110.178.145.178:8188/udp/239.1.1.79:8079
上海金色学堂,http://110.178.145.178:8188/udp/239.1.1.82:8082
上海游戏风云,http://110.178.145.178:8188/udp/239.1.1.83:8083
上海乐游纪实,http://110.178.145.178:8188/udp/239.1.1.84:8084
上海东方财经,http://110.178.145.178:8188/udp/239.1.1.85:8085
湖南金鹰纪实,http://110.178.145.178:8188/udp/239.1.1.63:8063
湖南快乐垂钓,http://110.178.145.178:8188/udp/239.1.1.86:8086
湖南茶频道,http://110.178.145.178:8188/udp/239.1.1.77:8077
CETV1,http://110.178.145.178:8188/rtp/239.1.1.65:8065
CETV2,http://110.178.145.178:8188/rtp/239.1.1.66:8066
CETV4,http://110.178.145.178:8188/rtp/239.1.1.67:8067
金鹰卡通,http://110.178.145.178:8188/rtp/239.1.1.61:8061
卡酷少儿,http://110.178.145.178:8188/rtp/239.1.1.62:8062
嘉佳卡通,http://110.178.145.178:8188/rtp/239.1.1.68:8068
